date,item,count,sales_cat,semester,menu_condition
21-Oct,Grilled Hamburger,105,Grill,Fall 2024,Control
21-Oct,Burrito Una Mano Trillium BYO,79,Grill,Fall 2024,Control
21-Oct,Fried Chicken Tenders,91,Grill,Fall 2024,Control
21-Oct,French Fries,114,Grill,Fall 2024,Control
21-Oct,Grilled Chicken Breast Sandwich,18,Grill,Fall 2024,Control
21-Oct,Sweet Potato Fries,36,Grill,Fall 2024,Control
21-Oct,Seared Salmon Burger,11,Grill,Fall 2024,Control
21-Oct,Trillium Grill Impossible Burger,8,Grill,Fall 2024,Control
21-Oct,Quesadilla Cheese,6,Grill,Fall 2024,Control
21-Oct,ADD Beef Patty $2.99,14,Grill,Fall 2024,Control
21-Oct,ADD Chicken Breast,4,Grill,Fall 2024,Control
21-Oct,Add Sausage 2 Patty,5,Grill,Fall 2024,Control
21-Oct,Black Bean Burger,1,Grill,Fall 2024,Control
21-Oct,ADD Cheese,4,Grill,Fall 2024,Control
21-Oct,Add Egg $.99,2,Grill,Fall 2024,Control
21-Oct,1 Entree + 1 Side,187,Asian,Fall 2024,Control
21-Oct,1 Entree + 2 Side,87,Asian,Fall 2024,Control
21-Oct,Bowl Ramen Chicken,71,Asian,Fall 2024,Control
21-Oct,2 Entrees + 2 Sides,20,Asian,Fall 2024,Control
21-Oct,Bowl Ramen Tofu,14,Asian,Fall 2024,Control
21-Oct,Side Vegetarian Lo Mein,7,Asian,Fall 2024,Control
21-Oct,Side Vegetable Spring Rolls,5,Asian,Fall 2024,Control
21-Oct,1 Wok Entree,3,Asian,Fall 2024,Control
21-Oct,Side Vegetarian Fried Rice with,1,Asian,Fall 2024,Control
21-Oct,Side White or Brown Rice,1,Asian,Fall 2024,Control
21-Oct,Create Your Pasta Bowl MEAT,124,Italian,Fall 2024,Control
21-Oct,Create Your Pasta Bowl VEG,37,Italian,Fall 2024,Control
21-Oct,Pizza with Toppings,38,Italian,Fall 2024,Control
21-Oct,Pizza Cheese,23,Italian,Fall 2024,Control
21-Oct,Add Extra Meat,22,Italian,Fall 2024,Control
21-Oct,Side Bread Pasta Station,1,Italian,Fall 2024,Control
21-Oct,Burrito Breakfast,80,Breakfast,Fall 2024,Control
21-Oct,Small French Omelet,51,Breakfast,Fall 2024,Control
21-Oct,Egg Cheese Sausage Breakfast San,32,Breakfast,Fall 2024,Control
21-Oct,Grand Slam Breakfast,16,Breakfast,Fall 2024,Control
21-Oct,Egg Cheese Bacon Breakfast Sandw,28,Breakfast,Fall 2024,Control
21-Oct,Add Bacon,35,Breakfast,Fall 2024,Control
21-Oct,Two Eggs,15,Breakfast,Fall 2024,Control
21-Oct,Trillium Home Fries,6,Breakfast,Fall 2024,Control
21-Oct,2 Slices Toast,3,Breakfast,Fall 2024,Control
21-Oct,Toast,2,Breakfast,Fall 2024,Control
21-Oct,Burrito Bowl BYO,101,Mexican,Fall 2024,Control
21-Oct,Single Taco,7,Mexican,Fall 2024,Control
21-Oct,Side Guacamole,6,Mexican,Fall 2024,Control
21-Oct,Add Extra Toppings Una Mano,1,Mexican,Fall 2024,Control
21-Oct,Salad by the Pound,59,Salad Bar,Fall 2024,Control
21-Oct,Soup 12 oz,43,Soup,Fall 2024,Control
21-Oct,8 oz Soup,27,Soup,Fall 2024,Control
21-Oct,Side Potato Tots,14,Grab N Go,Fall 2024,Control
22-Oct,Quesadilla Deluxe Trillium,161,Grill,Fall 2024,Control
22-Oct,Grilled Hamburger,127,Grill,Fall 2024,Control
22-Oct,Fried Chicken Tenders,120,Grill,Fall 2024,Control
22-Oct,Burrito Una Mano Trillium BYO,62,Grill,Fall 2024,Control
22-Oct,French Fries,146,Grill,Fall 2024,Control
22-Oct,Grilled Chicken Breast Sandwich,18,Grill,Fall 2024,Control
22-Oct,Sweet Potato Fries,34,Grill,Fall 2024,Control
22-Oct,Quesadilla Cheese,12,Grill,Fall 2024,Control
22-Oct,Seared Salmon Burger,10,Grill,Fall 2024,Control
22-Oct,Trillium Grill Impossible Burger,6,Grill,Fall 2024,Control
22-Oct,ADD Beef Patty $2.99,9,Grill,Fall 2024,Control
22-Oct,Black Bean Burger,2,Grill,Fall 2024,Control
22-Oct,ADD Chicken Breast,3,Grill,Fall 2024,Control
22-Oct,Add Sausage 2 Patty,1,Grill,Fall 2024,Control
22-Oct,Add Egg $.99,2,Grill,Fall 2024,Control
22-Oct,ADD Cheese,2,Grill,Fall 2024,Control
22-Oct,1 Entree + 1 Side,197,Asian,Fall 2024,Control
22-Oct,1 Entree + 2 Side,87,Asian,Fall 2024,Control
22-Oct,Bowl Ramen Chicken,73,Asian,Fall 2024,Control
22-Oct,2 Entrees + 2 Sides,36,Asian,Fall 2024,Control
22-Oct,Bowl Ramen Tofu,10,Asian,Fall 2024,Control
22-Oct,Side Vegetarian Lo Mein,4,Asian,Fall 2024,Control
22-Oct,1 Wok Entree,1,Asian,Fall 2024,Control
22-Oct,Side White or Brown Rice,3,Asian,Fall 2024,Control
22-Oct,Side Vegetarian Fried Rice with,1,Asian,Fall 2024,Control
22-Oct,Create Your Pasta Bowl MEAT,132,Italian,Fall 2024,Control
22-Oct,Create Your Pasta Bowl VEG,26,Italian,Fall 2024,Control
22-Oct,Pizza with Toppings,35,Italian,Fall 2024,Control
22-Oct,Pizza Cheese,24,Italian,Fall 2024,Control
22-Oct,Add Extra Meat,21,Italian,Fall 2024,Control
22-Oct,Side Bread Pasta Station,1,Italian,Fall 2024,Control
22-Oct,Burrito Breakfast,89,Breakfast,Fall 2024,Control
22-Oct,Small French Omelet,60,Breakfast,Fall 2024,Control
22-Oct,Grand Slam Breakfast,19,Breakfast,Fall 2024,Control
22-Oct,Egg Cheese Sausage Breakfast San,28,Breakfast,Fall 2024,Control
22-Oct,Egg Cheese Bacon Breakfast Sandw,26,Breakfast,Fall 2024,Control
22-Oct,Add Bacon,27,Breakfast,Fall 2024,Control
22-Oct,Two Eggs,14,Breakfast,Fall 2024,Control
22-Oct,Pancake Single,5,Breakfast,Fall 2024,Control
22-Oct,Trillium Home Fries,1,Breakfast,Fall 2024,Control
22-Oct,2 Slices Toast,3,Breakfast,Fall 2024,Control
22-Oct,Toast,2,Breakfast,Fall 2024,Control
22-Oct,PC Jelly,1,Breakfast,Fall 2024,Control
22-Oct,Burrito Bowl BYO,113,Mexican,Fall 2024,Control
22-Oct,Single Taco,3,Mexican,Fall 2024,Control
22-Oct,Side Guacamole,4,Mexican,Fall 2024,Control
22-Oct,Add Extra Toppings Una Mano,3,Mexican,Fall 2024,Control
22-Oct,Salad by the Pound,80,Salad Bar,Fall 2024,Control
22-Oct,8 oz Soup,51,Soup,Fall 2024,Control
22-Oct,Soup 12 oz,33,Soup,Fall 2024,Control
22-Oct,Side Potato Tots,14,Grab N Go,Fall 2024,Control
23-Oct,Quesadilla Deluxe Trillium,149,Grill,Fall 2024,Control
23-Oct,Grilled Hamburger,100,Grill,Fall 2024,Control
23-Oct,Fried Chicken Tenders,110,Grill,Fall 2024,Control
23-Oct,Burrito Una Mano Trillium BYO,59,Grill,Fall 2024,Control
23-Oct,French Fries,143,Grill,Fall 2024,Control
23-Oct,Grilled Chicken Breast Sandwich,20,Grill,Fall 2024,Control
23-Oct,Trillium Grill Impossible Burger,10,Grill,Fall 2024,Control
23-Oct,Quesadilla Cheese,11,Grill,Fall 2024,Control
23-Oct,Sweet Potato Fries,27,Grill,Fall 2024,Control
23-Oct,ADD Beef Patty $2.99,15,Grill,Fall 2024,Control
23-Oct,Seared Salmon Burger,3,Grill,Fall 2024,Control
23-Oct,ADD Chicken Breast,5,Grill,Fall 2024,Control
23-Oct,Black Bean Burger,2,Grill,Fall 2024,Control
23-Oct,Add Sausage 2 Patty,5,Grill,Fall 2024,Control
23-Oct,ADD Cheese,8,Grill,Fall 2024,Control
23-Oct,Add Egg $.99,1,Grill,Fall 2024,Control
23-Oct,1 Entree + 1 Side,194,Asian,Fall 2024,Control
23-Oct,1 Entree + 2 Side,92,Asian,Fall 2024,Control
23-Oct,Bowl Ramen Chicken,83,Asian,Fall 2024,Control
23-Oct,2 Entrees + 2 Sides,19,Asian,Fall 2024,Control
23-Oct,Bowl Ramen Tofu,9,Asian,Fall 2024,Control
23-Oct,1 Wok Entree,3,Asian,Fall 2024,Control
23-Oct,Side Vegetable Spring Rolls,4,Asian,Fall 2024,Control
23-Oct,Side Vegetarian Fried Rice with,3,Asian,Fall 2024,Control
23-Oct,Side Vegetarian Lo Mein,3,Asian,Fall 2024,Control
23-Oct,Side White or Brown Rice,5,Asian,Fall 2024,Control
23-Oct,Side Vegetables,2,Asian,Fall 2024,Control
23-Oct,Create Your Pasta Bowl MEAT,124,Italian,Fall 2024,Control
23-Oct,Create Your Pasta Bowl VEG,28,Italian,Fall 2024,Control
23-Oct,Pizza with Toppings,38,Italian,Fall 2024,Control
23-Oct,Pizza Cheese,23,Italian,Fall 2024,Control
23-Oct,Add Extra Meat,25,Italian,Fall 2024,Control
23-Oct,Side Bread Pasta Station,1,Italian,Fall 2024,Control
23-Oct,Burrito Breakfast,89,Breakfast,Fall 2024,Control
23-Oct,Small French Omelet,73,Breakfast,Fall 2024,Control
23-Oct,Egg Cheese Bacon Breakfast Sandw,30,Breakfast,Fall 2024,Control
23-Oct,Egg Cheese Sausage Breakfast San,29,Breakfast,Fall 2024,Control
23-Oct,Grand Slam Breakfast,10,Breakfast,Fall 2024,Control
23-Oct,Add Bacon,34,Breakfast,Fall 2024,Control
23-Oct,Two Eggs,16,Breakfast,Fall 2024,Control
23-Oct,Trillium Home Fries,6,Breakfast,Fall 2024,Control
23-Oct,Pancake Single,2,Breakfast,Fall 2024,Control
23-Oct,Toast,2,Breakfast,Fall 2024,Control
23-Oct,2 Slices Toast,1,Breakfast,Fall 2024,Control
23-Oct,Burrito Bowl BYO,92,Mexican,Fall 2024,Control
23-Oct,Single Taco,5,Mexican,Fall 2024,Control
23-Oct,Side Guacamole,1,Mexican,Fall 2024,Control
23-Oct,Add Extra Toppings Una Mano,1,Mexican,Fall 2024,Control
23-Oct,Salad by the Pound,77,Salad Bar,Fall 2024,Control
23-Oct,Add Extra Protein $2.99,1,Salad Bar,Fall 2024,Control
23-Oct,Soup 12 oz,36,Soup,Fall 2024,Control
23-Oct,8 oz Soup,35,Soup,Fall 2024,Control
23-Oct,Side Potato Tots,17,Grab N Go,Fall 2024,Control
24-Oct,Quesadilla Deluxe Trillium,165,Grill,Fall 2024,Control
