date,time,count,menu_condition
30-Jan,1:15 PM,143,Control
30-Jan,1:30 PM,67,Control
30-Jan,1:45 PM,36,Control
30-Jan,2:00 PM,34,Control
30-Jan,2:15 PM,71,Control
30-Jan,2:30 PM,54,Control
30-Jan,2:45 PM,70,Control
30-Jan,3:00 PM,5,Control
30-Jan,3:15 PM,2,Control
30-Jan,8:00 AM,10,Control
30-Jan,8:15 AM,14,Control
30-Jan,8:30 AM,34,Control
30-Jan,8:45 AM,29,Control
30-Jan,9:00 AM,22,Control
30-Jan,9:15 AM,22,Control
30-Jan,9:30 AM,31,Control
30-Jan,9:45 AM,21,Control
31-Jan,10:00 AM,55,Control
31-Jan,10:15 AM,36,Control
31-Jan,10:30 AM,11,Control
31-Jan,10:45 AM,21,Control
31-Jan,11:00 AM,101,Control
31-Jan,11:15 AM,88,Control
31-Jan,11:30 AM,51,Control
31-Jan,11:45 AM,48,Control
31-Jan,12:00 PM,106,Control
31-Jan,12:15 PM,198,Control
31-Jan,12:30 PM,128,Control
31-Jan,12:45 PM,52,Control
31-Jan,1:00 PM,49,Control
31-Jan,1:15 PM,117,Control
31-Jan,1:30 PM,66,Control
31-Jan,1:45 PM,34,Control
31-Jan,2:00 PM,9,Control
31-Jan,7:15 AM,1,Control
31-Jan,8:00 AM,3,Control
31-Jan,8:15 AM,17,Control
31-Jan,8:30 AM,16,Control
31-Jan,8:45 AM,33,Control
31-Jan,9:00 AM,20,Control
31-Jan,9:15 AM,14,Control
31-Jan,9:30 AM,20,Control
31-Jan,9:45 AM,18,Control
3-Feb,10:00 AM,39,Multimodal
3-Feb,10:15 AM,33,Multimodal
3-Feb,10:30 AM,14,Multimodal
3-Feb,10:45 AM,13,Multimodal
3-Feb,11:00 AM,96,Multimodal
3-Feb,11:15 AM,119,Multimodal
3-Feb,11:30 AM,147,Multimodal
3-Feb,11:45 AM,88,Multimodal
3-Feb,12:00 PM,85,Multimodal
3-Feb,12:15 PM,176,Multimodal
3-Feb,12:30 PM,83,Multimodal
3-Feb,12:45 PM,109,Multimodal
3-Feb,1:00 PM,197,Multimodal
3-Feb,1:15 PM,157,Multimodal
3-Feb,1:30 PM,51,Multimodal
3-Feb,1:45 PM,35,Multimodal
3-Feb,2:00 PM,39,Multimodal
3-Feb,2:15 PM,62,Multimodal
3-Feb,2:30 PM,44,Multimodal
3-Feb,2:45 PM,47,Multimodal
3-Feb,3:00 PM,6,Multimodal
3-Feb,3:15 PM,1,Multimodal
3-Feb,7:45 AM,1,Multimodal
3-Feb,8:00 AM,4,Multimodal
3-Feb,8:15 AM,18,Multimodal
3-Feb,8:30 AM,26,Multimodal
3-Feb,8:45 AM,29,Multimodal
3-Feb,9:00 AM,20,Multimodal
3-Feb,9:15 AM,20,Multimodal
3-Feb,9:30 AM,29,Multimodal
3-Feb,9:45 AM,29,Multimodal
4-Feb,10:00 AM,59,Multimodal
4-Feb,10:15 AM,35,Multimodal
4-Feb,10:30 AM,17,Multimodal
4-Feb,10:45 AM,17,Multimodal
4-Feb,11:00 AM,102,Multimodal
4-Feb,11:15 AM,71,Multimodal
4-Feb,11:30 AM,202,Multimodal
4-Feb,11:45 AM,129,Multimodal
4-Feb,12:00 PM,112,Multimodal
4-Feb,12:15 PM,86,Multimodal
4-Feb,12:30 PM,56,Multimodal
4-Feb,12:45 PM,117,Multimodal
4-Feb,1:00 PM,266,Multimodal
4-Feb,1:15 PM,133,Multimodal
4-Feb,1:30 PM,60,Multimodal
4-Feb,1:45 PM,32,Multimodal
4-Feb,2:00 PM,32,Multimodal
4-Feb,2:15 PM,63,Multimodal
4-Feb,2:30 PM,50,Multimodal
4-Feb,2:45 PM,90,Multimodal
4-Feb,3:00 PM,8,Multimodal
4-Feb,4:00 PM,0,Multimodal
4-Feb,8:00 AM,15,Multimodal
4-Feb,8:15 AM,21,Multimodal
4-Feb,8:30 AM,23,Multimodal
4-Feb,8:45 AM,31,Multimodal
4-Feb,9:00 AM,27,Multimodal
4-Feb,9:15 AM,13,Multimodal
4-Feb,9:30 AM,25,Multimodal
4-Feb,9:45 AM,31,Multimodal
5-Feb,10:00 AM,51,Multimodal
5-Feb,10:15 AM,27,Multimodal
5-Feb,10:30 AM,10,Multimodal
5-Feb,10:45 AM,17,Multimodal
5-Feb,11:00 AM,117,Multimodal
5-Feb,11:15 AM,129,Multimodal
5-Feb,11:30 AM,130,Multimodal
5-Feb,11:45 AM,74,Multimodal
5-Feb,12:00 PM,102,Multimodal
5-Feb,12:15 PM,188,Multimodal
5-Feb,12:30 PM,126,Multimodal
5-Feb,12:45 PM,124,Multimodal
5-Feb,1:00 PM,159,Multimodal
5-Feb,1:15 PM,149,Multimodal
5-Feb,1:30 PM,68,Multimodal
5-Feb,1:45 PM,48,Multimodal
5-Feb,2:00 PM,37,Multimodal
5-Feb,2:15 PM,75,Multimodal
5-Feb,2:30 PM,38,Multimodal
5-Feb,2:45 PM,34,Multimodal
5-Feb,3:00 PM,1,Multimodal
5-Feb,8:00 AM,20,Multimodal
5-Feb,8:15 AM,24,Multimodal
5-Feb,8:30 AM,24,Multimodal
5-Feb,8:45 AM,25,Multimodal
5-Feb,9:00 AM,23,Multimodal
5-Feb,9:15 AM,21,Multimodal
5-Feb,9:30 AM,31,Multimodal
5-Feb,9:45 AM,29,Multimodal
6-Feb,10:00 AM,30,Multimodal
6-Feb,10:15 AM,15,Multimodal
6-Feb,10:30 AM,19,Multimodal
6-Feb,10:45 AM,14,Multimodal
6-Feb,11:00 AM,89,Multimodal
6-Feb,11:15 AM,86,Multimodal
6-Feb,11:30 AM,205,Multimodal
6-Feb,11:45 AM,129,Multimodal
6-Feb,12:00 PM,111,Multimodal
6-Feb,12:15 PM,143,Multimodal
6-Feb,12:30 PM,87,Multimodal
6-Feb,12:45 PM,92,Multimodal
6-Feb,1:00 PM,228,Multimodal
6-Feb,1:15 PM,126,Multimodal
6-Feb,1:30 PM,51,Multimodal
6-Feb,1:45 PM,34,Multimodal
6-Feb,2:00 PM,24,Multimodal
6-Feb,2:15 PM,64,Multimodal
6-Feb,2:30 PM,49,Multimodal
6-Feb,2:45 PM,65,Multimodal
6-Feb,3:00 PM,1,Multimodal
6-Feb,8:00 AM,9,Multimodal
6-Feb,8:15 AM,7,Multimodal
6-Feb,8:30 AM,17,Multimodal
6-Feb,8:45 AM,24,Multimodal
6-Feb,9:00 AM,17,Multimodal
6-Feb,9:15 AM,23,Multimodal
6-Feb,9:30 AM,16,Multimodal
6-Feb,9:45 AM,24,Multimodal
7-Feb,10:00 AM,42,Multimodal
7-Feb,10:15 AM,27,Multimodal
7-Feb,10:30 AM,11,Multimodal
7-Feb,10:45 AM,25,Multimodal
7-Feb,11:00 AM,105,Multimodal
7-Feb,11:15 AM,91,Multimodal
7-Feb,11:30 AM,47,Multimodal
7-Feb,11:45 AM,51,Multimodal
7-Feb,12:00 PM,94,Multimodal
7-Feb,12:15 PM,163,Multimodal
7-Feb,12:30 PM,115,Multimodal
7-Feb,12:45 PM,54,Multimodal
7-Feb,1:00 PM,66,Multimodal
7-Feb,1:15 PM,100,Multimodal
7-Feb,1:30 PM,62,Multimodal
7-Feb,1:45 PM,37,Multimodal
7-Feb,2:00 PM,4,Multimodal
7-Feb,2:30 PM,1,Multimodal
7-Feb,8:00 AM,8,Multimodal
7-Feb,8:15 AM,9,Multimodal
7-Feb,8:30 AM,14,Multimodal
7-Feb,8:45 AM,25,Multimodal
7-Feb,9:00 AM,27,Multimodal
7-Feb,9:15 AM,17,Multimodal
7-Feb,9:30 AM,17,Multimodal
7-Feb,9:45 AM,23,Multimodal
10-Feb,10:00 AM,54,Multimodal
10-Feb,10:15 AM,30,Multimodal
10-Feb,10:30 AM,14,Multimodal
10-Feb,10:45 AM,17,Multimodal
10-Feb,11:00 AM,102,Multimodal
10-Feb,11:15 AM,88,Multimodal
10-Feb,11:30 AM,155,Multimodal
10-Feb,11:45 AM,64,Multimodal
10-Feb,12:00 PM,90,Multimodal
10-Feb,12:15 PM,169,Multimodal
10-Feb,12:30 PM,90,Multimodal
10-Feb,12:45 PM,82,Multimodal
10-Feb,1:00 PM,165,Multimodal
10-Feb,1:15 PM,139,Multimodal
10-Feb,1:30 PM,56,Multimodal
10-Feb,1:45 PM,30,Multimodal
10-Feb,2:00 PM,46,Multimodal
10-Feb,2:15 PM,71,Multimodal
10-Feb,2:30 PM,46,Multimodal
10-Feb,2:45 PM,39,Multimodal
10-Feb,8:00 AM,9,Multimodal
10-Feb,8:15 AM,14,Multimodal
10-Feb,8:30 AM,20,Multimodal
10-Feb,8:45 AM,22,Multimodal
10-Feb,9:00 AM,13,Multimodal
10-Feb,9:15 AM,14,Multimodal
10-Feb,9:30 AM,27,Multimodal
10-Feb,9:45 AM,29,Multimodal
11-Feb,10:00 AM,49,Multimodal
11-Feb,10:15 AM,35,Multimodal
11-Feb,10:30 AM,16,Multimodal
11-Feb,10:45 AM,9,Multimodal
11-Feb,11:00 AM,84,Multimodal
11-Feb,11:15 AM,76,Multimodal
11-Feb,11:30 AM,185,Multimodal
11-Feb,11:45 AM,111,Multimodal
11-Feb,12:00 PM,88,Multimodal
11-Feb,12:15 PM,126,Multimodal
11-Feb,12:30 PM,75,Multimodal
11-Feb,12:45 PM,130,Multimodal
11-Feb,1:00 PM,245,Multimodal
11-Feb,1:15 PM,154,Multimodal
11-Feb,1:30 PM,69,Multimodal
11-Feb,1:45 PM,32,Multimodal
11-Feb,2:00 PM,35,Multimodal
11-Feb,2:15 PM,67,Multimodal
11-Feb,2:30 PM,49,Multimodal
11-Feb,2:45 PM,71,Multimodal
11-Feb,3:00 PM,3,Multimodal
11-Feb,8:00 AM,9,Multimodal
11-Feb,8:15 AM,16,Multimodal
11-Feb,8:30 AM,21,Multimodal
11-Feb,8:45 AM,27,Multimodal
11-Feb,9:00 AM,22,Multimodal
11-Feb,9:15 AM,13,Multimodal
11-Feb,9:30 AM,26,Multimodal
11-Feb,9:45 AM,32,Multimodal
12-Feb,10:00 AM,46,Multimodal
12-Feb,10:15 AM,22,Multimodal
12-Feb,10:30 AM,3,Multimodal
12-Feb,10:45 AM,23,Multimodal
12-Feb,11:00 AM,129,Multimodal
12-Feb,11:15 AM,122,Multimodal
12-Feb,11:30 AM,114,Multimodal
12-Feb,11:45 AM,84,Multimodal
12-Feb,12:00 PM,107,Multimodal
12-Feb,12:15 PM,188,Multimodal
12-Feb,12:30 PM,102,Multimodal
